
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (188) 188 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (189) 189 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (190) 190 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (191) 191 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (192) 192 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (193) 193 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (194) 194 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (195) 195 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (196) 196 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (197) 197 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (198) 198 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (199) 199 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (200) 200 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (201) 201 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (202) 202 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (203) 203 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (204) 204 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (205) 205 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (206) 206 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (207) 207 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (208) 208 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (209) 209 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (210) 210 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (211) 211 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (212) 212 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (213) 213 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (214) 214 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (215) 215 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (216) 216 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (217) 217 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (218) 218 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (219) 219 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (220) 220 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (221) 221 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (222) 222 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (223) 223 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (224) 224 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (225) 225 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 1
 - Run (226) 226 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 1, max actions 1
 - Run (227) 227 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (228) 228 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (229) 229 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (230) 230 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (231) 231 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (232) 232 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (233) 233 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (234) 234 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
