,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
917,72777984,6,917,200,2000,2000,0.28,0.68,4,10,0.02,0.87,50,335.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
918,85459491,6,918,200,2000,2000,0.92,0.42,8,4,0.87,0.65,50,1833.46,0.0,0.0,13.380896830930281,0.0,0.0,33,0.1981295113500036,0,0.0
919,7641996,6,919,200,2000,2000,0.42,0.92,2,9,0.92,0.87,50,59.91,0.0,0.0,2.5694162761218737,0.0,0.0,4,0.2169945015828776,0,0.0
920,79143235,6,920,200,2000,2000,0.38,0.18,1,4,0.84,0.6,50,48.01,0.0,0.0,0.09949874371066203,0.0,0.0,4,-0.0004040404040422499,0,0.0
921,37272740,6,921,200,2000,2000,0.95,0.8,4,6,0.71,0.72,50,1898.05,0.0,0.0,10.416693333299202,0.0,0.0,20,0.1932539225399166,0,0.0
922,2681519,6,922,200,2000,2000,0.77,0.15,9,4,0.55,0.62,50,1522.62,1386.47,1100.68,17.210334104833645,224.36819984124307,244.54107548630762,26,0.24324755668213865,14,0.7942200494426728
923,60214371,6,923,200,2000,2000,0.54,0.98,6,10,0.87,0.12,50,732.96,0.0,0.0,16.820178358150667,0.0,0.0,6,0.267616047595349,0,0.0
924,47498689,6,924,200,2000,2000,0.68,0.13,4,1,0.21,0.57,50,1404.37,1462.58,1195.76,24.685078488836123,20.403029186863407,24.184755529051767,35,0.24174503255993943,6,0.44180942030865517
925,30981557,6,925,200,2000,2000,0.48,0.67,7,8,0.13,0.29,50,960.86,0.0,0.0,6.253031264914641,0.0,0.0,15,0.49087630817076044,0,0.0
926,48303141,6,926,200,2000,2000,0.33,0.38,4,9,0.39,0.67,50,257.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
927,92061273,6,927,200,2000,2000,0.48,0.02,6,6,0.81,0.41,50,470.47,322.17,236.28,30.326706052586722,97.94264188799484,88.25203453745414,13,0.8309171704400881,13,0.8568320900850952
928,31343831,6,928,200,2000,2000,0.04,0.64,3,7,0.26,0.5,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
929,34305690,6,929,200,2000,2000,0.44,0.15,8,3,0.78,0.38,50,259.25,235.74,180.47,36.66589014329258,46.11867734443389,48.35937447899838,12,0.8820503761006406,12,0.879113829851856
930,98797899,6,930,200,2000,2000,0.92,0.28,1,2,0.34,0.21,50,1841.36,0.0,0.0,20.00075998556055,0.0,0.0,18,0.1983746035301316,0,0.0
