
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (157) 157 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (158) 158 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (159) 159 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (160) 160 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (161) 161 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (162) 162 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 3
 - Run (163) 163 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (164) 164 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (165) 165 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (166) 166 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (167) 167 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (168) 168 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (169) 169 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 1
 - Run (170) 170 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (171) 171 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 1
 - Run (172) 172 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (173) 173 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (174) 174 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (175) 175 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (176) 176 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (177) 177 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (178) 178 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (179) 179 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (180) 180 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (181) 181 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (182) 182 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 1
 - Run (183) 183 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
